Year,Country,Rider,Height (Meters),Weight (Kilograms),BMI
1991,Uzbekistan,Djamolidine Abdoujaparov,1.74,72,23.78121284
1992,France,Laurent Jalabert,1.76,66,21.30681818
1993,Uzbekistan,Djamolidine Abdoujaparov,1.74,72,23.78121284
1994,Uzbekistan,Djamolidine Abdoujaparov,1.74,72,23.78121284
1995,France,Laurent Jalabert,1.76,66,21.30681818
1996,Germany,Erik Zabel,1.78,69,21.77755334
1997,Germany,Erik Zabel,1.78,69,21.77755334
1998,Germany,Erik Zabel,1.78,69,21.77755334
1999,Germany,Erik Zabel,1.78,69,21.77755334
2000,Germany,Erik Zabel,1.78,69,21.77755334
2001,Germany,Erik Zabel,1.78,69,21.77755334
2002,Australia,Robbie McEwen,1.71,67,22.91303307
2003,Australia,Baden Cooke,1.8,75,23.14814815
2004,Australia,Robbie McEwen,1.71,67,22.91303307
2005,Norway,Thor Hushovd,1.83,83,24.78425752
2006,Australia,Robbie McEwen,1.71,67,22.91303307
2007,Belgium,Tom Boonen,1.92,82,22.24392361
2008,Spain,Ã“scar Freire,1.71,63,21.5450908
2009,Norway,Thor Hushovd,1.83,83,24.78425752
2010,Italy,Alessandro Petacchi,1.85,70,20.45288532
2011,Great Britain,Mark Cavendish,1.75,70,22.85714286
2012,Slovakia,Peter Sagan,1.82,78,23.54788069
2013,Slovakia,Peter Sagan,1.82,78,23.54788069
2014,Slovakia,Peter Sagan,1.82,78,23.54788069
2015,Slovakia,Peter Sagan,1.82,78,23.54788069
2016,Slovakia,Peter Sagan,1.82,78,23.54788069
2017,Australia,Michael Matthews,1.78,72,22.72440348
2018,Slovakia,Peter Sagan,1.82,78,23.54788069
2019,Slovakia,Peter Sagan,1.82,78,23.54788069
2020,Ireland,Sam Bennett,1.78,73,23.0400202
2021,Great Britain,Mark Cavendish,1.75,70,22.85714286
2022,Belgium,Wout van Aert,1.9,78,21.6066482
2023,Belgium,Jasper Philipsen,1.76,75,24.21229339
